period,value
31/12/2024,11.36132623
30/09/2024,8.029309539
30/06/2024,3.691992432
31/03/2024,4.80228074
31/12/2023,10.16693277
30/09/2023,2.861710671
30/06/2023,4.426218127
31/03/2023,4.228572662
31/12/2022,3.884588728
30/09/2022,18.47073161
30/06/2022,9.805520491
31/03/2022,12.72184161
31/12/2021,15.52777924
30/09/2021,26.03564731
30/06/2021,52.43425298
31/03/2021,62.64599326
31/12/2020,5.617419317
30/09/2020,3.659547834
30/06/2020,1.264805065
31/03/2020,6.148078608
31/12/2019,9.405994386
30/09/2019,8.889149558
30/06/2019,7.786525234
31/03/2019,6.448617742
31/12/2018,7.493006649
30/09/2018,8.787103001
30/06/2018,9.755844111
31/03/2018,10.20750118
31/12/2017,13.36866294
30/09/2017,7.826308765
30/06/2017,7.638203227
31/03/2017,7.812420043
31/12/2016,8.908780691
30/09/2016,7.307262539
30/06/2016,3.203873863
31/03/2016,0.558227943
31/12/2015,0.757207837
30/09/2015,2.165944734
30/06/2015,3.686199745
31/03/2015,5.510651043
31/12/2014,7.641785191
30/09/2014,10.50284393
30/06/2014,8.762521424
31/03/2014,9.548487574
31/12/2013,-9.688191562
30/09/2013,24.16053445
30/06/2013,17.01792631
31/03/2013,25.38263037
31/12/2012,54.89969949
30/09/2012,11.75470884
30/06/2012,11.50083248
31/03/2012,19.69629851
31/12/2011,24.53795114
30/09/2011,17.07393469
30/06/2011,17.1684941
31/03/2011,12.49553347
31/12/2010,14.36546989
30/09/2010,10.47206754
30/06/2010,9.598151278
31/03/2010,9.126719954
31/12/2009,1.430141934
30/09/2009,1.941260323
30/06/2009,3.490486074
31/03/2009,11.54279082
31/12/2008,22.7325376
30/09/2008,29.01977934
30/06/2008,29.91604721
31/03/2008,21.04326774
31/12/2007,19.26481689
30/09/2007,17.10520437
30/06/2007,15.90763362
31/03/2007,13.62797257
31/12/2006,17.52991211
30/09/2006,19.00463091
30/06/2006,11.27531967
31/03/2006,11.41338018
31/12/2005,12.11917689
30/09/2005,18.45106811
30/06/2005,17.79634115
31/03/2005,19.20158042
31/12/2004,23.37532844
30/09/2004,10.22255458
30/06/2004,14.06411306
31/03/2004,9.758296727
31/12/2003,15.71439455
30/09/2003,15.10020297
30/06/2003,9.3092255
31/03/2003,10.13179737
31/12/2002,4.728758483
30/09/2002,11.53574034
30/06/2002,8.252894664
31/03/2002,9.011625356
31/12/2001,8.62354497
